encoder_size,experiment_name,model,seed,test_acc,train_acc,transfer,tune_acc
512,t512fwcomp,comp,,0.65625,0.890625,True,0.6802083343
512,t512fwcomp,comp,,0.6555059531,0.8506578952,True,0.6645833343
512,t512fwcomp,comp,,0.6540178571,0.8498355268000001,True,0.684375
512,t512fwcomp,comp,,0.6398809531,0.8774671053,True,0.70625
512,t512fwcomp,comp,,0.6577380959,0.9860197368000001,True,0.6708333343
512,t512fwcomp,comp,,0.6369047633,0.8618421053,True,0.6729166687
512,t512fwcomp,comp,,0.6361607143,0.7782894742,True,0.665625
512,t512fwcomp,comp,,0.6592261919,0.7671052633,True,0.6854166687000001
512,t512fwcomp,comp,,0.6473214286,0.9975328947,True,0.6854166687000001
512,t512fwcomp,comp,,0.6361607143,0.9819078947,True,0.675
512,t512fwcomp,comp,,0.6502976205,0.9268092105,True,0.6791666687000001
512,t512fwcomp,comp,,0.6599702388,0.9991776316,True,0.6760416687
512,t512fwcomp,comp,,0.6376488102000001,0.9235197368000001,True,0.6666666687
512,t512fwcomp,comp,,0.6480654776,0.9210526316,True,0.6947916687000001
512,t512fwcomp,comp,,0.6153273817,0.9481907895,True,0.69375
512,t512fwcomp,comp,,0.6294642857,0.9024671056999999,True,0.6916666687
512,t512fwcomp,comp,,0.6324404776,0.9246710531,True,0.6677083343
512,t512fwcomp,comp,,0.6867559531,0.9925986842,True,0.6760416687
512,t512fwcomp,comp,,0.6346726205,0.8996710526,True,0.6947916687000001
512,t512fwcomp,comp,,0.6428571429,0.8554276314,True,0.69375
2048,t2048fwcomp,comp,,0.6138392857,0.7643092109999999,True,0.6854166687000001
2048,t2048fwcomp,comp,,0.6056547633,0.7062500002,True,0.6604166686999999
2048,t2048fwcomp,comp,,0.5952380959,0.7185855265000001,True,0.6770833343000001
2048,t2048fwcomp,comp,,0.5818452388,0.7222039472,True,0.6666666687
2048,t2048fwcomp,comp,,0.5930059531,0.6889802633,True,0.671875
2048,t2048fwcomp,comp,,0.6577380959,0.7692434215,True,0.6885416687
2048,t2048fwcomp,comp,,0.6019345245000001,0.7103618423,True,0.6604166686999999
2048,t2048fwcomp,comp,,0.5892857143,0.6958881577,True,0.65
2048,t2048fwcomp,comp,,0.6116071429,0.6945723687,True,0.6604166686999999
2048,t2048fwcomp,comp,,0.5833333347999999,0.6832236844,True,0.6697916687
2048,t2048fwcomp,comp,,0.6071428571,0.7108552636,True,0.6760416687
2048,t2048fwcomp,comp,,0.5997023817,0.7440789475,True,0.6604166686999999
2048,t2048fwcomp,comp,,0.5796130959,0.7284539475,True,0.6677083343
2048,t2048fwcomp,comp,,0.6026785714,0.6855263161,True,0.6635416687
2048,t2048fwcomp,comp,,0.6264880959,0.7975328948999999,True,0.6697916687
2048,t2048fwcomp,comp,,0.5744047633,0.7029605265000001,True,0.6708333343
2048,t2048fwcomp,comp,,0.609375,0.8111842109999999,True,0.6791666687000001
2048,t2048fwcomp,comp,,0.6026785714,0.6893092104,True,0.678125
2048,t2048fwcomp,comp,,0.6011904776,0.7069078951000001,True,0.6666666687
2048,t2048fwcomp,comp,,0.5997023817,0.7062500002,True,0.6697916687
2048,r2048fwcomp,comp,,0.5773809531,0.7074013156,False,0.6729166687
2048,r2048fwcomp,comp,,0.6212797633,0.7407894737999999,False,0.6760416687
2048,r2048fwcomp,comp,,0.5967261919,0.7069078951000001,False,0.6666666687
2048,r2048fwcomp,comp,,0.5825892857,0.7210526317,False,0.6635416687
2048,r2048fwcomp,comp,,0.5974702388,0.8230263159000001,False,0.6864583343
2048,r2048fwcomp,comp,,0.5892857143,0.7884868423,False,0.6822916687
2048,r2048fwcomp,comp,,0.5952380959,0.7342105265000001,False,0.6666666687
2048,r2048fwcomp,comp,,0.6004464286,0.6993421056999999,False,0.6854166687000001
2048,r2048fwcomp,comp,,0.5364583347999999,0.6934210525,False,0.66875
2048,r2048fwcomp,comp,,0.5930059531,0.7555921054000001,False,0.6864583343
2048,r2048fwcomp,comp,,0.6361607143,0.8194078952,False,0.6760416687
2048,r2048fwcomp,comp,,0.6160714286,0.7618421056999999,False,0.6885416687
2048,r2048fwcomp,comp,,0.610119049,0.7481907896,False,0.6614583343
2048,r2048fwcomp,comp,,0.6324404776,0.7613486844,False,0.6697916687
2048,r2048fwcomp,comp,,0.6168154776,0.6955592106999999,False,0.6791666687000001
2048,r2048fwcomp,comp,,0.6168154776,0.6955592106999999,False,0.6791666687000001
2048,r2048fwcomp,comp,,0.6168154776,0.6955592106999999,False,0.6791666687000001
2048,r2048fwcomp,comp,,0.6168154776,0.6955592106999999,False,0.6791666687000001
2048,r2048fwcomp,comp,,0.6168154776,0.6955592106999999,False,0.6791666687000001
2048,r2048fwcomp,comp,,0.6168154776,0.6955592106999999,False,0.6791666687000001
1024,t1024fwcomp,comp,,0.5796130959,0.6980263159000001,True,0.65
1024,t1024fwcomp,comp,,0.5930059531,0.8378289475,True,0.659375
1024,t1024fwcomp,comp,,0.6309523817,0.8736842109999999,True,0.6791666687000001
1024,t1024fwcomp,comp,,0.5639880959,0.9712171053,True,0.6864583343
1024,t1024fwcomp,comp,,0.5848214286,0.6999999998,True,0.6697916687
1024,t1024fwcomp,comp,,0.6116071429,0.8300986847,True,0.6979166687
1024,t1024fwcomp,comp,,0.6004464286,0.8011513156,True,0.6802083343
1024,t1024fwcomp,comp,,0.5870535714,0.7873355268000001,True,0.665625
1024,t1024fwcomp,comp,,0.5639880959,0.6884868419,True,0.6625
1024,t1024fwcomp,comp,,0.5892857143,0.7950657896,True,0.6677083343
1024,t1024fwcomp,comp,,0.5892857143,0.7118421056,True,0.6604166686999999
1024,t1024fwcomp,comp,,0.6324404776,0.9016447373,True,0.684375
1024,t1024fwcomp,comp,,0.6309523817,0.8531250005,True,0.6708333343
1024,t1024fwcomp,comp,,0.5766369062,0.9164473689,True,0.6708333343
1024,t1024fwcomp,comp,,0.5654761919,0.7348684214,True,0.6708333343
