,Unnamed: 0,Unnamed: 0.1,encoder_size,experiment_name,model,seed,test_acc,train_acc,transfer,tune_acc
0,0.0,0.0,300,r300fwcomp,comp,6890.0,0.623511906181063,0.8394736843673807,False,0.659375
1,1.0,1.0,300,r300fwcomp,comp,891.0,0.6495535714285714,0.7503289478389841,False,0.6697916686534882
2,2.0,2.0,300,r300fwcomp,comp,303.0,0.6205357142857143,0.7029605264726438,False,0.671875
3,3.0,3.0,300,r300fwcomp,comp,8075.0,0.6324404776096344,0.8884868425758261,False,0.6479166686534882
4,4.0,4.0,300,r300fwcomp,comp,6349.0,0.5952380959476743,0.8600328948936964,False,0.66875
5,5.0,5.0,300,r300fwcomp,comp,1291.0,0.6331845245191029,0.8815789473684209,False,0.6916666686534881
6,6.0,6.0,300,r300fwcomp,comp,2280.0,0.6436011918953487,0.7851973685779069,False,0.6697916686534882
7,7.0,7.0,300,r300fwcomp,comp,2052.0,0.625,0.8169407899442472,False,0.6635416686534882
8,8.0,8.0,300,r300fwcomp,comp,9601.0,0.6696428571428571,0.8758223684210527,False,0.6760416686534881
9,9.0,9.0,300,r300fwcomp,comp,2895.0,0.6026785714285714,0.8523026320495104,False,0.6697916686534882
10,10.0,10.0,300,r300fwcomp,comp,2166.0,0.6197916673762458,0.8098684212094859,False,0.6729166686534882
11,11.0,11.0,300,r300fwcomp,comp,4390.0,0.6220238102333886,0.7569078952074051,False,0.6697916686534882
12,12.0,12.0,300,r300fwcomp,comp,643.0,0.6436011918953487,0.8268092109968788,False,0.6822916686534881
13,13.0,13.0,300,r300fwcomp,comp,2223.0,0.6480654776096344,0.7519736846810893,False,0.6822916686534881
14,14.0,14.0,300,r300fwcomp,comp,5098.0,0.6569940490382058,0.8205592106831702,False,0.6854166686534882
15,15.0,15.0,300,r300fwcomp,comp,7987.0,0.6413690490382058,0.9564144736842104,False,0.6916666686534881
16,16.0,16.0,300,r300fwcomp,comp,7656.0,0.6480654776096344,0.9564144736842104,False,0.6729166686534882
17,17.0,17.0,300,r300fwcomp,comp,8598.0,0.6413690490382058,0.7552631583652998,False,0.6822916686534881
18,18.0,18.0,300,r300fwcomp,comp,5890.0,0.6145833347524915,0.9703947368421052,False,0.6885416686534882
19,19.0,19.0,300,r300fwcomp,comp,253.0,0.6331845245191029,0.8939144736842105,False,0.6947916686534882
20,20.0,20.0,300,r300fwcomp,comp,4128.0,0.6056547633239201,0.8745065794179314,False,0.678125
21,21.0,21.0,300,r300fwcomp,comp,1622.0,0.6354166673762458,0.7958881580515912,False,0.6760416686534881
22,22.0,22.0,300,r300fwcomp,comp,7490.0,0.6168154776096344,0.9386513162600366,False,0.6822916686534881
23,23.0,23.0,300,r300fwcomp,comp,7614.0,0.6354166673762458,0.9416118421052632,False,0.6822916686534881
24,24.0,24.0,300,r300fwcomp,comp,1648.0,0.6465773816619601,0.8613486846810893,False,0.6916666686534881
25,25.0,25.0,300,r300fwcomp,comp,5200.0,0.6540178571428571,0.8217105261589351,False,0.6635416686534882
26,26.0,26.0,300,r300fwcomp,comp,6399.0,0.6257440490382058,0.9383223684210528,False,0.684375
27,27.0,27.0,300,r300fwcomp,comp,4925.0,0.6331845245191029,0.9251644736842104,False,0.6729166686534882
28,28.0,28.0,300,r300fwcomp,comp,8749.0,0.6361607142857143,0.7955592109968788,False,0.6666666686534881
29,29.0,29.0,300,r300fwcomp,comp,672.0,0.6138392857142857,0.9120065789473684,False,0.6791666686534882
30,30.0,30.0,300,r300fwcomp,comp,7958.0,0.6168154776096344,0.7684210531021419,False,0.6604166686534881
31,31.0,31.0,300,r300fwcomp,comp,8954.0,0.6421130959476743,0.8616776317358017,False,0.7041666686534882
32,32.0,32.0,300,r300fwcomp,comp,1483.0,0.6279761918953487,0.8231907894736842,False,0.6697916686534882
33,33.0,33.0,300,r300fwcomp,comp,9488.0,0.6279761918953487,0.9383223684210528,False,0.6791666686534882
34,34.0,34.0,300,r300fwcomp,comp,2249.0,0.6331845245191029,0.8062500004705629,False,0.6885416686534882
35,35.0,35.0,300,r300fwcomp,comp,1095.0,0.6242559530905315,0.8832236842105263,False,0.6729166686534882
36,36.0,36.0,300,r300fwcomp,comp,5123.0,0.6443452388048172,0.9703947368421052,False,0.6729166686534882
37,37.0,37.0,300,r300fwcomp,comp,2482.0,0.6071428571428571,0.8333881583652998,False,0.6822916686534881
38,38.0,38.0,300,r300fwcomp,comp,3650.0,0.6168154776096344,0.9235197368421052,False,0.6791666686534882
39,39.0,39.0,300,r300fwcomp,comp,510.0,0.6138392857142857,0.7601973688916156,False,0.6791666686534882
40,40.0,40.0,300,r300fwcomp,comp,225.0,0.6398809530905315,0.8078947373126683,False,0.6666666686534881
41,41.0,41.0,300,r300fwcomp,comp,6073.0,0.6428571428571429,0.8638157899442472,False,0.6625
42,42.0,42.0,300,r300fwcomp,comp,5883.0,0.6302083347524915,0.7572368422621175,False,0.6666666686534881
43,43.0,43.0,300,r300fwcomp,comp,2882.0,0.640625,0.8769736846810893,False,0.6854166686534882
44,44.0,44.0,300,r300fwcomp,comp,2326.0,0.6309523816619601,0.8625000001568544,False,0.6729166686534882
45,45.0,45.0,300,r300fwcomp,comp,5511.0,0.6056547633239201,0.9514802631578948,False,0.671875
46,46.0,46.0,300,r300fwcomp,comp,83.0,0.6130952388048172,0.8095394741547736,False,0.6760416686534881
47,47.0,47.0,300,r300fwcomp,comp,9187.0,0.609375,0.7712171054200122,False,0.6697916686534882
