,annealing,batch_size,bidirectional,collator,emb_lr_factor,embed_size,embed_type,enc_lr_factor,encoder,encoder_layers,encoder_size,experiment_name,from_grid,from_grid_trans,grid_name,hidden_size,l2,lr,lr_decay_every,lr_decay_grace,lr_decay_rate,max_epochs,model,n_runs,name,override,p_drop,p_drop_rnn,projection_size,run_no,seed,sos_eos,stop_lr_lim,stop_t_worse,stopping,target,test_acc,tokenizer,train_acc,transfer,transfer_name,tune_acc,tune_embeds,tune_encoder,tune_target
15,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwlin,False,True,,512,0.0,0.02,0.0,0,0.2,200,lin,20,t512fwlin,True,0.1,0.0,200,16,9882,True,1e-05,1,min_lr,train-full,0.490990990990991,spacy,0.6101973684210527,True,e512,0.64375,False,True,dev-full
16,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwlin,False,True,,512,0.0,0.02,0.0,0,0.2,200,lin,20,t512fwlin,True,0.1,0.0,200,17,8516,True,1e-05,1,min_lr,train-full,0.5067567567567568,spacy,0.6233552631578947,True,e512,0.5375,False,True,dev-full
17,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwlin,False,True,,512,0.0,0.02,0.0,0,0.2,200,lin,20,t512fwlin,True,0.1,0.0,200,18,4402,True,1e-05,1,min_lr,train-full,0.5,spacy,0.5797697368421053,True,e512,0.6239583343267441,False,True,dev-full
18,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwlin,False,True,,512,0.0,0.02,0.0,0,0.2,200,lin,20,t512fwlin,True,0.1,0.0,200,19,8291,True,1e-05,1,min_lr,train-full,0.4932432432432433,spacy,0.5435855263157895,True,e512,0.65,False,True,dev-full
19,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwlin,False,True,,512,0.0,0.02,0.0,0,0.2,200,lin,20,t512fwlin,True,0.1,0.0,200,20,3435,True,1e-05,1,min_lr,train-full,0.4954954954954955,spacy,0.7758223688916156,True,e512,0.6333333343267441,False,True,dev-full
20,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,1,663,True,1e-05,1,min_lr,train-full,0.6148648648648649,spacy,0.7774671057337209,True,e512,0.66875,False,True,dev-full
21,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,2,8376,True,1e-05,1,min_lr,train-full,0.6036036036036037,spacy,0.8550986843673807,True,e512,0.6875,False,True,dev-full
22,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,3,8489,True,1e-05,1,min_lr,train-full,0.6306306306306306,spacy,0.928453947368421,True,e512,0.69375,False,True,dev-full
23,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,4,6006,True,1e-05,1,min_lr,train-full,0.6396396396396397,spacy,0.9029605263157895,True,e512,0.6854166686534882,False,True,dev-full
24,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,5,4506,True,1e-05,1,min_lr,train-full,0.6306306306306306,spacy,0.838651315946328,True,e512,0.6854166686534882,False,True,dev-full
25,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,6,724,True,1e-05,1,min_lr,train-full,0.5923423423423423,spacy,0.7667763162600366,True,e512,0.6927083343267441,False,True,dev-full
26,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,7,6906,True,1e-05,1,min_lr,train-full,0.6103603603603603,spacy,0.7725328952074051,True,e512,0.659375,False,True,dev-full
27,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,8,1668,True,1e-05,1,min_lr,train-full,0.6171171171171171,spacy,0.90625,True,e512,0.6916666686534881,False,True,dev-full
28,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,9,1769,True,1e-05,1,min_lr,train-full,0.6171171171171171,spacy,0.9156250004705629,True,e512,0.6822916686534881,False,True,dev-full
29,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,10,1557,True,1e-05,1,min_lr,train-full,0.6103603603603603,spacy,0.928453947368421,True,e512,0.6635416686534882,False,True,dev-full
30,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,11,3215,True,1e-05,1,min_lr,train-full,0.5653153153153153,spacy,0.7534539472115668,True,e512,0.6854166686534882,False,True,dev-full
31,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,12,7501,True,1e-05,1,min_lr,train-full,0.5698198198198198,spacy,0.8753289478389841,True,e512,0.678125,False,True,dev-full
32,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,13,5339,True,1e-05,1,min_lr,train-full,0.6238738738738738,spacy,0.9095394736842105,True,e512,0.659375,False,True,dev-full
33,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,14,9311,True,1e-05,1,min_lr,train-full,0.6554054054054054,spacy,0.9333881578947368,True,e512,0.671875,False,True,dev-full
34,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,15,2885,True,1e-05,1,min_lr,train-full,0.6283783783783784,spacy,0.9810855263157895,True,e512,0.6645833343267441,False,True,dev-full
35,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,16,3485,True,1e-05,1,min_lr,train-full,0.6193693693693694,spacy,0.9194078947368421,True,e512,0.6760416686534881,False,True,dev-full
36,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,17,3087,True,1e-05,1,min_lr,train-full,0.5968468468468469,spacy,0.8424342109968788,True,e512,0.6885416686534882,False,True,dev-full
37,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,18,4779,True,1e-05,1,min_lr,train-full,0.5990990990990991,spacy,0.9082236846810893,True,e512,0.7041666686534882,False,True,dev-full
38,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,19,9513,True,1e-05,1,min_lr,train-full,0.6171171171171171,spacy,0.8564144741547736,True,e512,0.6791666686534882,False,True,dev-full
39,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,512,t512fwcomp,False,True,,512,0.0,0.003,0.0,0,0.2,200,comp,1,t512fwcomp,True,0.1,0.0,200,20,5800,True,1e-05,1,min_lr,train-full,0.6193693693693694,spacy,0.9243421052631579,True,e512,0.684375,False,True,dev-full
40,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,1,663,True,1e-05,1,min_lr,train-full,0.5855855855855856,spacy,0.7794407896305385,True,e1024,0.6791666686534882,False,True,dev-full
41,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,2,7014,True,1e-05,1,min_lr,train-full,0.5382882882882883,spacy,0.7044407897873929,True,e1024,0.6666666686534881,False,True,dev-full
42,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,3,9444,True,1e-05,1,min_lr,train-full,0.5878378378378378,spacy,0.7781249998431456,True,e1024,0.6729166686534882,False,True,dev-full
43,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,4,2671,True,1e-05,1,min_lr,train-full,0.5833333333333334,spacy,0.834703947368421,True,e1024,0.6697916686534882,False,True,dev-full
44,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,5,4434,True,1e-05,1,min_lr,train-full,0.5405405405405406,spacy,0.7205592103694615,True,e1024,0.678125,False,True,dev-full
45,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,6,1219,True,1e-05,1,min_lr,train-full,0.6036036036036037,spacy,0.8082236843673807,True,e1024,0.66875,False,True,dev-full
46,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,7,1923,True,1e-05,1,min_lr,train-full,0.5765765765765766,spacy,0.8983552636284577,True,e1024,0.6729166686534882,False,True,dev-full
47,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,8,3330,True,1e-05,1,min_lr,train-full,0.5405405405405406,spacy,0.6666118424189719,True,e1024,0.6697916686534882,False,True,dev-full
48,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,9,2176,True,1e-05,1,min_lr,train-full,0.5900900900900901,spacy,0.8848684210526315,True,e1024,0.665625,False,True,dev-full
49,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,10,2910,True,1e-05,1,min_lr,train-full,0.5472972972972973,spacy,0.7032894735273562,True,e1024,0.665625,False,True,dev-full
50,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,11,6878,True,1e-05,1,min_lr,train-full,0.5765765765765766,spacy,0.8389802630010404,True,e1024,0.665625,False,True,dev-full
51,tune_acc_decay,16,True,rnn_sent,0.01,300,glove,1.0,lstm,1,1024,t1024fwcomp,False,True,,512,0.0,0.004,0.0,0,0.2,200,comp,20,t1024fwcomp,True,0.1,0.0,200,12,6504,True,1e-05,1,min_lr,train-full,0.5765765765765766,spacy,0.7536184215231946,True,e1024,0.6916666686534881,False,True,dev-full
